"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Seeds","Fruits","Leaves","Flowers","Nectar","Insects","Arachnids","Centipedes","Fishes","Amphibians","Reptiles","Birds","Mammals"
"YIN060001005","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","guineensis","Rhinolophus_guineensis",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001006","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","blasii","Rhinolophus_blasii",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001007","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","lobatus","Rhinolophus_lobatus",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001008","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","swinnyi","Rhinolophus_swinnyi",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001009","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","capensis","Rhinolophus_capensis",0,0,0,0,0,2,0,0,0,0,0,0,0
"YIN060001010","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","gorongosae","Rhinolophus_gorongosae",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001011","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","rhodesiae","Rhinolophus_rhodesiae",0,0,0,0,0,2,0,0,0,0,0,0,0
"YIN060001012","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","simulator","Rhinolophus_simulator",0,0,0,0,0,2,0,0,0,0,0,0,0
"YIN060001013","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","denti","Rhinolophus_denti",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001014","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","alticolus","Rhinolophus alticolus",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001015","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","mehelyi","Rhinolophus_mehelyi",0,0,0,0,0,2,0,0,0,0,0,0,0
"YIN060001016","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","euryale","Rhinolophus_euryale",0,0,0,0,0,2,0,1,0,0,0,0,0
"YIN060001017","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hildebrandtii","Rhinolophus_hildebrandtii",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001018","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","mabuensis","Rhinolophus_mabuensis",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001019","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","cohenae","Rhinolophus_cohenae",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001020","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","smithersi","Rhinolophus_smithersi",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001021","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","mossambicus","Rhinolophus_mossambicus",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001022","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","fumigatus","Rhinolophus_fumigatus",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001023","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","eloquens","Rhinolophus_eloquens",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001024","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","darlingi","Rhinolophus_darlingi",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001025","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","damarensis","Rhinolophus_damarensis",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001026","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","deckenii","Rhinolophus_deckenii",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001027","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","silvestris","Rhinolophus_silvestris",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001028","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hillorum","Rhinolophus_hillorum",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001029","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","sakejiensis","Rhinolophus_sakejiensis",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001030","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","ferrumequinum","Rhinolophus_ferrumequinum",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001031","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","clivosus","Rhinolophus_clivosus",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001032","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","horaceki","Rhinolophus_horaceki",0,0,0,0,0,2,0,0,0,0,0,0,0
"YIN060001033","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","maclaudi","Rhinolophus_maclaudi",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001034","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","ziama","Rhinolophus_ziama",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001035","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hilli","Rhinolophus_hilli",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001036","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","kahuzi","Rhinolophus_kahuzi",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001037","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","willardi","Rhinolophus_willardi",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001038","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","ruwenzorii","Rhinolophus_ruwenzorii",0,0,0,0,0,2,2,2,0,0,0,0,0
"YIN060001039","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hipposideros","Rhinolophus_hipposideros",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010101001","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Taphozoninae","Taphozous","nudiventris","Taphozous_nudiventris",0,0,0,0,0,2,0,0,0,0,0,0,0
